k,acc_mean,acc_std,prec_mean,rec_mean,f1_mean
1,0.37507999999999997,0.0037338452030045333,0.41155084744953785,0.37507999999999997,0.37331156970893187
11,0.37362,0.0010067770358922544,0.45328329943024165,0.37362,0.3661460242565142
9,0.3736,0.0021232051243344255,0.4493266301439543,0.3736,0.3663256183554656
7,0.37268,0.0030478845122477926,0.44400314710887007,0.37268,0.3660476117915066
5,0.37198000000000003,0.003197749208427693,0.4352091547171032,0.37198000000000003,0.3650875273753224
15,0.36982,0.0047989165443879135,0.4511844336807796,0.36982,0.3599737002847488
3,0.36154000000000003,0.00436559274325949,0.43735865471036706,0.36154,0.35648527317463313
